Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/agent/chat (support-agent via agent-gateway),29,0,130,153.16665517055864,55.18429999938235,324.2815999983577,240.31034482758622,0.5325624200243912,0.0,130,190,200,250,300,320,320,320,320,320,320
POST,/api/v1/auth/register,100,0,48,628.425446000474,21.7391000041971,4017.677099996945,157.78,1.8364221380151424,0.0,48,82,110,1000,3000,3500,4000,4000,4000,4000,4000
GET,/api/v1/bookings/[id] (status check),35,0,10,12.352177142747678,4.297899999073707,38.58429999672808,159.0857142857143,0.6427477483052998,0.0,10,12,16,18,23,25,39,39,39,39,39
POST,/api/v1/bookings/[id]/confirm,33,0,50,145.6672999991111,4.363999993074685,3074.515300002531,448.6060606060606,0.606019305544997,0.0,50,70,73,76,90,130,3100,3100,3100,3100,3100
POST,/api/v1/bookings/[id]/release,12,0,19,29.580524998891633,13.349399989238009,75.65499999327585,488.0,0.2203706565618171,0.0,29,32,44,44,45,76,76,76,76,76,76
POST,/api/v1/bookings/lock,103,0,19,53.25909126216537,4.813100007595494,227.55820000020321,253.2135922330097,1.8915148021555968,0.0,19,63,87,100,150,180,200,220,230,230,230
GET,"/api/v1/events (list, KNOWN BROKEN)",198,198,22,843.6355111113487,6.767099999706261,2728.5631999984616,59.474747474747474,3.636115833269982,3.636115833269982,22,2300,2300,2300,2300,2400,2700,2700,2700,2700,2700
GET,/api/v1/events/[id],198,0,10,16.36810959653395,3.2002000079955906,102.20930000650696,219.0,3.636115833269982,0.0,10,14,16,20,34,56,81,100,100,100,100
GET,/api/v1/events/[id]/seats,198,0,9,42.58960909110193,2.856699997209944,246.67310000222642,119316.95454545454,3.636115833269982,0.0,9,15,64,100,150,170,210,230,250,250,250
,Aggregated,906,198,17,283.7503718544692,2.856699997209944,4017.677099996945,26219.59271523179,16.63798457041719,3.636115833269982,17,40,71,98,1000,2300,2700,3000,4000,4000,4000
