Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/v1/agent/chat (support-agent via agent-gateway),64,0,93,151.27497343837604,51.8826000043191,1188.4540999890305,229.640625,1.0765993555414652,0.0,96,120,140,150,230,400,870,1200,1200,1200,1200
POST,/api/v1/auth/register,30,0,1800,1903.7019466651448,1361.1858999938704,2350.4317000042647,391.0,0.5046559479100619,0.0,2000,2000,2100,2100,2300,2300,2400,2400,2400,2400,2400
GET,/api/v1/bookings/[id] (status check),79,0,8,10.680654428787294,4.1136999789159745,57.626399997388944,152.15189873417722,1.3289273294964963,0.0,8,9,11,15,20,30,44,58,58,58,58
POST,/api/v1/bookings/[id]/confirm,25,0,55,302.31014400022104,33.71829999377951,3069.431899988558,484.64,0.4205466232583849,0.0,55,67,71,95,140,3000,3100,3100,3100,3100,3100
POST,/api/v1/bookings/[id]/release,9,0,26,26.882222216550467,15.745199983939528,43.879899982130155,488.0,0.15139678437301857,0.0,26,27,30,36,44,44,44,44,44,44,44
POST,/api/v1/bookings/lock,174,0,8,31.005625289379104,4.004499991424382,316.6008999978658,164.10344827586206,2.9270044978783587,0.0,8,10,14,40,98,170,250,310,320,320,320
GET,"/api/v1/events (list, KNOWN BROKEN)",374,374,12,480.3914080218619,6.239499984076247,3222.8622999973595,74.53475935828877,6.291377483945437,6.291377483945437,12,16,19,34,2400,2600,2800,2900,3200,3200,3200
GET,/api/v1/events/[id],374,0,6,14.231854011096125,2.9473000031430274,212.3684999824036,160.99732620320856,6.291377483945437,0.0,6,8,9,12,29,58,98,180,210,210,210
GET,/api/v1/events/[id]/seats,374,0,6,37.08860561526181,2.824700000928715,364.2366999993101,64094.064171123,6.291377483945437,0.0,6,7,9,11,160,250,310,340,360,360,360
,Aggregated,1503,374,9,186.0887154362111,2.824700000928715,3222.8622999973595,16063.059214903526,25.283262990294098,6.291377483945437,9,13,21,53,180,2300,2400,2700,3100,3200,3200
